Statistic,Hospital,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
PDI 10 Risk 1,ALL,0,0,729,691,655,680,634,733,501,573
PDI 10 Risk 2,ALL,978,983,282,264,266,305,306,257,217,190
PDI 10 Risk 3,ALL,0,0,12,9,12,6,8,9,15,11
PDI 10 Risk 4,ALL,41,48,19,36,42,33,40,42,29,40
PDI 10 Risk 9,ALL,84,84,89,95,89,82,78,133,243,235
% PDI 10 Risk 1,ALL,0.0,0.0,0.6445623342175066,0.6310502283105023,0.6156015037593985,0.6148282097649186,0.5947467166979362,0.6243611584327087,0.49850746268656715,0.546234509056244
% PDI 10 Risk 2,ALL,0.886672710788758,0.8816143497757848,0.2493368700265252,0.2410958904109589,0.25,0.2757685352622061,0.2870544090056285,0.21890971039182283,0.21592039800995025,0.1811248808388942
% PDI 10 Risk 3,ALL,0.0,0.0,0.010610079575596816,0.00821917808219178,0.011278195488721804,0.0054249547920434,0.0075046904315197,0.007666098807495741,0.014925373134328358,0.010486177311725452
% PDI 10 Risk 4,ALL,0.0371713508612874,0.04304932735426009,0.016799292661361626,0.03287671232876712,0.039473684210526314,0.029837251356238697,0.0375234521575985,0.03577512776831346,0.028855721393034824,0.03813155386081983
% PDI 10 Risk 9,ALL,0.07615593834995467,0.07533632286995516,0.07869142351900972,0.0867579908675799,0.08364661654135339,0.07414104882459313,0.07317073170731707,0.11328790459965929,0.2417910447761194,0.22402287893231648
,,,,,,,,,,,,,
PDI 10 Risk 1,Florida Hospital for Children,0,0,0,0,0,1,4,47,5,47
PDI 10 Risk 2,Florida Hospital for Children,0,0,0,0,0,42,58,12,46,20
PDI 10 Risk 3,Florida Hospital for Children,0,0,0,0,0,0,0,1,0,1
PDI 10 Risk 4,Florida Hospital for Children,0,0,0,0,0,0,3,4,3,2
PDI 10 Risk 9,Florida Hospital for Children,0,0,0,0,0,3,6,13,8,20
% PDI 10 Risk 1,Florida Hospital for Children,,,,,,0.021739130434782608,0.056338028169014086,0.6103896103896104,0.08064516129032258,0.5222222222222223
% PDI 10 Risk 2,Florida Hospital for Children,,,,,,0.9130434782608695,0.8169014084507042,0.15584415584415584,0.7419354838709677,0.2222222222222222
% PDI 10 Risk 3,Florida Hospital for Children,,,,,,0.0,0.0,0.012987012987012988,0.0,0.011111111111111112
% PDI 10 Risk 4,Florida Hospital for Children,,,,,,0.0,0.04225352112676056,0.05194805194805195,0.04838709677419355,0.022222222222222223
